center	assay	assay-info	cell-lines	cell-lines-meta	perturbagens	perturbagens-meta	dose	perturbagens-meta (cont)	signatures-meta	map	readouts	readout-count	data release date	data release date	data release date	data release date	release-link	phase	Unique ID (Qiaonan)	DCIC Assay Name
DTOXS	Proteomics	"Cardiomyocyte ""Efficacy/Toxicity Ratio"" Joint project- Collaborators: ISMMS, UCI, HMS, Broad/Golub, Broad/Jaffe, OHSU & DCIC*"	 Which four? Birtwistle unsure of structure	4\cell lines	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,6"	;1	48;hrs;1	"3,3"	one-all	DEPs\protein list		10/31/15	10/31/15	10/31/15	10/31/15		LP2	lincs.milestones.d:8e7cbb8e-181d-4ec0-b1e7-5ebfcb28369b	MS Protein Quantification Assay
DTOXS	Western blots/PCR (validation assays)	"Cardiomyocyte ""Efficacy/Toxicity Ratio"" Joint project- Collaborators: ISMMS, UCI, HMS, Broad/Golub, Broad/Jaffe, OHSU & DCIC*"	 Which four? Birtwistle unsure of structure	4\cell lines	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,15"	;1	48;hrs;1	"3,3"	one-all	image\image		10/31/15	10/31/15	10/31/15	10/31/15		LP2	lincs.milestones.d:220d3737-e0d3-46b3-8429-8c1b00d67b07	Western Blot / PCR Assay
DTOXS	RNASeq	Cardiotoxicity Signatures	"Mount Sinai iPSC-derived myocytes line 3,iPSC differentiated,normal,heart;Mount Sinai iPSC-derived myocytes line 4,iPSC differentiated,normal,heart"	2\iPSCs differentiated	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,30"	;1	48;hrs;1	3	one-all	DEGs\gene list		1/31/16	1/31/16	1/31/16	1/31/16		LP2	lincs.milestones.d:6cb25fd4-e27c-4c33-a94f-cda6eae8b8e0	RNA-Seq Gene expression profiling assay
DTOXS	Proteomics	Cardiotoxicity Signatures	"Mount Sinai iPSC-derived myocytes line 3,iPSC differentiated,normal,heart;Mount Sinai iPSC-derived myocytes line 4,iPSC differentiated,normal,heart"	2\iPSCs differentiated	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,10"	;1	48;hrs;1	3	one-all	DEPs\protein list		1/31/16	1/31/16	1/31/16	1/31/16		LP2	lincs.milestones.d:0da0058d-39b6-4ca2-bbd9-9cf0e28274b1	MS Protein Quantification Assay
DTOXS	Western blots	Cardiotoxicity Signatures	"Mount Sinai iPSC-derived myocytes line 3,iPSC differentiated,normal,heart;Mount Sinai iPSC-derived myocytes line 4,iPSC differentiated,normal,heart"	2\iPSCs differentiated	"Afatinib,FDA approved drug;Axitinib,FDA approved drug;Bosutinib,FDA approved drug;Cabozantinib,FDA approved drug;Ceritinib,FDA approved drug;Crizotinib,FDA approved drug;Dabrafenib,FDA approved drug;Dasatinib,FDA approved drug;Erlotinib,FDA approved drug;Gefitinib,FDA approved drug;Imatinib,FDA approved drug;Lapatinib,FDA approved drug;Nilotinib,FDA approved drug;Pazopanib,FDA approved drug;ponatinib,FDA approved drug;Regorafenib,FDA approved drug;Ruxolitinib,FDA approved drug;Sorafenib,FDA approved drug;Sunitinib,FDA approved drug;Tofacitinib,FDA approved drug;Trametinib,FDA approved drug;Vandetanib,FDA approved drug;Vemurafenib,FDA approved drug;Trastuzumab,FDA approved drug;Trastuzumab + Ursodeoxycholic acid,FDA approved drug;Trastuzumab + Loperamide,FDA approved drug;Trastuzumab + Domperidone,FDA approved drug;Sunitinib + Ursodeoxycholic acid,FDA approved drug;Sunitinib + Domperidone,FDA approved drug;Sunitinib + Loparemide,FDA approved drug;Sunitinib + Prednisolone,FDA approved drug;Sorafenib + Ursodeoxycholic acid,FDA approved drug;Sorafenib + Entecavir,FDA approved drug;Sorafenib + Diethylpropion,FDA approved drug;Sorafenib + Olmesartan,FDA approved drug;Sorefenib + Diclofenac,FDA approved drug;Dasatinib + Cytarabine,FDA approved drug;Erlotinib + Cefuroxime,FDA approved drug;Imatinib + Cyclosporine,FDA approved drug;Ursodeoxycholic acid,FDA approved drug;Loperamide,FDA approved drug;Domperidone,FDA approved drug;Prednisolone,FDA approved drug;Entecavir,FDA approved drug;Diethylpropion,FDA approved drug;Olmesartan,FDA approved drug;Diclofenac,FDA approved drug;Cytarabine,FDA approved drug;Cefuroxime,FDA approved drug;Cyclosporine,FDA approved drug"	"false\FDA approved drugs,3"	;1	48;hrs;1	3	one-all	image\image		1/31/16	1/31/16	1/31/16	1/31/16		LP2	lincs.milestones.d:421eeee5-ea10-46c6-85e3-7b646e06a33d	Western Blot Assay
																				
LINCS Transcriptomics	Evaluating shRNAs (vs CRISPRs)	L1000	"MCF7,cell line,cancer line,breast;PC3,cell line,cancer line,prostate;A375,cell line,cancer line,skin;HT29,cell line,cancer line,ovarian;HA1E,cell line,imm cells,colon;A549,cell line,cancer line,lung"	6\cell lines	"EGFP(control),genetic,12 (6 sgRs and 6 shRs);EGFR,genetic,12 (6 sgRs and 6 shRs);MUC1,genetic,12 (6 sgRs and 6 shRs);BRAF,genetic,12 (6 sgRs and 6 shRs);MTOR,genetic,12 (6 sgRs and 6 shRs);AKT2,genetic,12 (6 sgRs and 6 shRs);AURKB,genetic,12 (6 sgRs and 6 shRs);BIRC5,genetic,12 (6 sgRs and 6 shRs);MCL1,genetic,12 (6 sgRs and 6 shRs);MYL9,genetic,12 (6 sgRs and 6 shRs);ERBB3,genetic,12 (6 sgRs and 6 shRs);ERG,genetic,12 (6 sgRs and 6 shRs);PDGFA,genetic,12 (6 sgRs and 6 shRs);PIK3CA,genetic,12 (6 sgRs and 6 shRs);CXCR4,genetic,12 (6 sgRs and 6 shRs);KIT,genetic,12 (6 sgRs and 6 shRs);KRAS,genetic,12 (6 sgRs and 6 shRs)"	"false\genetic,900"	;1	;;1	3	one-all	L1000 gene expression\number		6/30/15	6/30/15	6/30/15	6/30/15		LP2	lincs.milestones.t:23fac28c-b5aa-47b3-b3d1-705394dbd9d4	L1000 Gene expression profiling assay
LINCS Transcriptomics	Evaluating CRISPRs (vs shRNAs)	L1000	"MCF7,cell line,cancer line,breast;PC3,cell line,cancer line,prostate;A375,cell line,cancer line,skin;HT29,cell line,cancer line,ovarian;HA1E,cell line,imm cells,colon;A549,cell line,cancer line,lung"	6\cell lines	"EGFP(control),genetic,12 (6 sgRs and 6 shRs);EGFR,genetic,12 (6 sgRs and 6 shRs);MUC1,genetic,12 (6 sgRs and 6 shRs);BRAF,genetic,12 (6 sgRs and 6 shRs);MTOR,genetic,12 (6 sgRs and 6 shRs);AKT2,genetic,12 (6 sgRs and 6 shRs);AURKB,genetic,12 (6 sgRs and 6 shRs);BIRC5,genetic,12 (6 sgRs and 6 shRs);MCL1,genetic,12 (6 sgRs and 6 shRs);MYL9,genetic,12 (6 sgRs and 6 shRs);ERBB3,genetic,12 (6 sgRs and 6 shRs);ERG,genetic,12 (6 sgRs and 6 shRs);PDGFA,genetic,12 (6 sgRs and 6 shRs);PIK3CA,genetic,12 (6 sgRs and 6 shRs);CXCR4,genetic,12 (6 sgRs and 6 shRs);KIT,genetic,12 (6 sgRs and 6 shRs);KRAS,genetic,12 (6 sgRs and 6 shRs)"	"false\genetic,800"	;1	;;1	3	one-all	L1000 gene expression\number		6/30/15	6/30/15	6/30/15	6/30/15		LP2	lincs.milestones.t:0689336c-5654-428d-b2da-fbadc5a204eb	L1000 Gene expression profiling assay
LINCS Transcriptomics	Deep exploration of cellular context (small-molecules)	L1000	"MCF7,cell line,cancer line,breast;PC3,cell line,cancer line,prostate;A375,cell line,cancer line,skin;HT29,cell line,cancer line,ovarian;HA1E,cell line,imm cells,colon;A549,cell line,cancer line,lung;HPAC,cell line,cancer line,pancreas"	7\cell lines	"acetyldiline (Ci-994),chemical;alpha-estradiol,chemical;belinostat,chemical;beta-estradiol,chemical;BIX 01294,chemical;BIX 01338,chemical;CPI-169,chemical;decitabine,chemical;DMSO,chemical;entinostat,chemical (MS275),chemical;fluphezine,chemical;fulvestrant,chemical;geldamycin,chemical;genistein,chemical;GSK-J4,chemical;GSK1210151A,chemical;gsk126,chemical;GSK525762A,chemical;jq1,chemical;LY-294002,chemical;methylstat,chemical;Mitoxantrone,chemical;monorden,chemical;OSI-027,chemical;rapamycin,chemical;resveratrol,chemical;salermide,chemical;sirolimus,chemical;staurosporine,chemical;tanespamycin,chemical;thioridazine,chemical;tretinoin (atra),chemical;trichostatin a,chemical;trifluoperazine,chemical;troglitazone,chemical;unc0321,chemical;unc0646,chemical;unc1215,chemical;valproic acid,chemical;vorinostat,chemical;withaferin a,chemical;wortmannin,chemical;zebularine,chemical"	"false\chemical,360"	;6	;;1	3		L1000 gene expression\number		6/30/15	6/30/15	6/30/15	6/30/15		LP2	lincs.milestones.t:22a44282-f32f-490d-b713-7d55c8d6ae91	L1000 Gene expression profiling assay
LINCS Transcriptomics	Deep exploration of cellular context (biologicals)	L1000	"MCF7,cell line,cancer line,breast;PC3,cell line,cancer line,prostate;A375,cell line,cancer line,skin;HT29,cell line,cancer line,ovarian;HA1E,cell line,imm cells,colon;A549,cell line,cancer line,lung;HPAC,cell line,cancer line,pancreas"	7\cell lines	"acetyldiline (Ci-994),chemical;alpha-estradiol,chemical;belinostat,chemical;beta-estradiol,chemical;BIX 01294,chemical;BIX 01338,chemical;CPI-169,chemical;decitabine,chemical;DMSO,chemical;entinostat,chemical (MS275),chemical;fluphezine,chemical;fulvestrant,chemical;geldamycin,chemical;genistein,chemical;GSK-J4,chemical;GSK1210151A,chemical;gsk126,chemical;GSK525762A,chemical;jq1,chemical;LY-294002,chemical;methylstat,chemical;Mitoxantrone,chemical;monorden,chemical;OSI-027,chemical;rapamycin,chemical;resveratrol,chemical;salermide,chemical;sirolimus,chemical;staurosporine,chemical;tanespamycin,chemical;thioridazine,chemical;tretinoin (atra),chemical;trichostatin a,chemical;trifluoperazine,chemical;troglitazone,chemical;unc0321,chemical;unc0646,chemical;unc1215,chemical;valproic acid,chemical;vorinostat,chemical;withaferin a,chemical;wortmannin,chemical;zebularine,chemical"	"false\chemical,50"	;6	;;1	3		L1000 gene expression\number		6/30/15	6/30/15	6/30/15	6/30/15		LP2	lincs.milestones.t:c0d084e2-cc94-4946-b677-3019cf0bd3e9	L1000 Gene expression profiling assay
																				
HMS LINCS	Viability and Apoptosis by Imaging	"Sensitivity measures of MDA-MB-231 and HME-1 cell lines to LINCS Phase I TransCenter Project kinase inhibitors--single drug treatments. Imaging assay--monitoring cell number via Hoechst 33342 (nuclei) staining. To generate measures of the sensitivities of two cell lines to LINCS Phase I TransCenter Project kinase inhibitors we treated cells with single drugs at multiple concentrations.  After 3 days of incubation, cells were stained with Hoechst 33342 and nuclei were counted.  Cell numbers after drug exposure were compared with numbers present on Day 0, immediately after drug was added. Calculated metrics (IC50, GI50, EC50, Hill coefficient and Einf) from this data are available in HMS-LINCS dataset 20216."	"HME1,cell line,normal,breast;MDAMB231,cell line,normal,breast"	2\cell lines	"GDC0941,small molecule;MK2206,small molecule;WYE125132,small molecule;Torin1,small molecule;PD0325901,small molecule"	"false\small molecules,5"	0.000166-22uM;22	3;days;1		one-all	Nuclei/cell count\kinase inhibitor sensitivity measurements	1	12/31/14	12/31/14			http://lincs.hms.harvard.edu/db/datasets/20215/	LP2	lincs.milestones.h:20215	Fluorescence Imaging Cell viability assay
HMS LINCS	Growth Response Assay	"Metrics for growth responses of MDA-MB-231 and HME-1 cell lines to LINCS Phase I TransCenter Project kinase inhibitors--single drug treatments. Analysis Dataset--This dataset presents calculated metrics (IC50, GI50, EC50, Hill coefficient and Einf) for the data in HMS-LINCS dataset #20215. The data in #20215 are measures of the sensitivities of two cell lines to the LINCS Phase I TransCenter kinase inhibitors -- cells were treated with single drugs and cell number was measured after three days of drug exposure."	"HME1,cell line,normal,breast;MDAMB231,cell line,normal,breast"	2\cell lines	"GDC0941,small molecule;MK2206,small molecule;WYE125132,small molecule;Torin1,small molecule;PD0325901,small molecule"	"false\small molecules,5"	0.000166-22uM;22	3;days;1		one-all	"IC50, GI50, EC50, Hill coefficient, and Einf"	1			12/31/14		http://lincs.hms.harvard.edu/db/datasets/20216/	LP2	lincs.milestones.h:20216	Fluorescence Imaging Cell viability assay
HMS LINCS	Viability and Apoptosis by Imaging	"Viability and apoptosis in BRAF(V600E/D) melanoma cell lines monitored by imaging. Imaging assay--monitoring dose response of anti-mitotic compounds in human cancer cell lines at 24, 48, and 72 hours to determine their effects on apoptosis.  To score viability and apoptosis, a dye-based imaging assay was used; the cell-permeable DNA dye Hoechst 33342 was used to mark nuclei and DEVD-NucView488 caspase-3 substrate was used to mark apoptosis (stains nuclei of cells undergoing apoptosis, in which caspase 3 is active)."	"C32,cell line,normal,skin;COLO858,cell line,normal,skin;K2,cell line,normal,skin;LOXIMVI,cell line,normal,skin;MMACSF,cell line,normal,skin;MZ7MEL,cell line,normal,skin;RVH421,cell line,normal,skin;SKMEL28,cell line,normal,skin;WM115,cell line,normal,skin;WM1552C,cell line,normal,skin"	10\cell lines	"AZ628,small molecule;Selumetinib,small molecule;Vemurafenib,small molecule;PLX4720,small molecule;SB590885,small molecule"	"false\small molecules,5"	0.00316-3.16uM;7	"24,48,72;hrs;3"		one-all	Nuclei/cell count\image;Apoptotic cells\image	2	3/31/15	3/31/15	3/31/15	3/31/15	http://lincs.hms.harvard.edu/db/datasets/20217/	LP2	lincs.milestones.h:20217	Fluorescence Imaging Cell Viability Assay / Apoptosis Assay
HMS LINCS	RPPA	"Phosphorylation state and protein levels measured in BRAF(V600E/D) melanoma cell lines monitored by Reverse Phase Protein Arrays (RPPA) --monitoring phosphorylation state and protein levelsof 21 targets in BRAF(V600E/D) melanoma cell lines. Staining and analysis of RPPA data using validated antibodies were performed as described in Sevecka et al, 2011, PMID: 21296872."	"C32,cell line,normal,skin;COLO858,cell line,normal,skin;K2,cell line,normal,skin;LOXIMVI,cell line,normal,skin;MMACSF,cell line,normal,skin;MZ7MEL,cell line,normal,skin;RVH421,cell line,normal,skin;SKMEL28,cell line,normal,skin;WM115,cell line,normal,skin;WM1552C,cell line,normal,skin"	10\cell lines	"AZ628,small molecule;Selumetinib,small molecule;Vemurafenib,small molecule;PLX4720,small molecule;SB590885,small molecule"	"false\small molecules,5"	0.00316-3.16uM;7	"1,5,10,24,48;hrs;5"		one-all	pMEK(S217/221)\phosphorylation level;pERK(T202/Y204)\phosphorylation level;p-p90RSK(S380)\phosphorylation level;p-p90RSK(T573)\phosphorylation level;p-AKT(T308)\phosphorylation level;p-AKT(S473)\phosphorylation level;p-mTOR(S2448)\phosphorylation level;p-p70S6K(T421/S424)\phosphorylation level;p-p70S6K(T389)\phosphorylation level;p-S6(S235/236)\phosphorylation level;p-AMPK(T172)\phosphorylation level;p-JNK(T183/Y185)\phosphorylation level;Total c-Jun\phosphorylation level;p-cJun(S63)\phosphorylation level;p-P38(T180/Y182)\phosphorylation level;p-HSP27(S82)\phosphorylation level;p-NFKB(S536)\phosphorylation level;Bim\phosphorylation level;cPARP\phosphorylation level;p-Histone H3(S10)\phosphorylation level;p27 Kip1\phosphorylation level	21	3/31/15	3/31/15	3/31/15	3/31/15	http://lincs.hms.harvard.edu/db/datasets/20218/	LP2	lincs.milestones.h:20218	RPPA Protein Quantification Assay
HMS LINCS	Phosphorylation by Imaging	Phosphorylation state and protein levels measured in BRAF(V600E/D) melanoma cell lines monitored by imaging. Imaging assay--monitoring protein (or phospho protein) levels of 7 targets. 	"COLO858,cell line,normal,skin;LOXIMVI,cell line,normal,skin;WM115,cell line,normal,skin;WM1552C,cell line,normal,skin"	4\cell lines	"Vemurafenib,small molecule;JNK-IN-8,small molecule;Vemurafenib + JNK-IN-8,small molecule"	"false\small molecules,3"	0-5uM;9	24;hrs;1		one-all	p27 Kip1--Alexa488\image;p-Histone H3(S10)--Alexa488\image;Ki-67--Alexa488\image;p-Rb(S807/S811)--Alexa568\image;p-ERK(T202/Y204)--Alexa647\image;p-S6(S235/S236--Alexa647\image;p-cJun(S73)--Alexa647\image	7	3/31/15	3/31/15	3/31/15	3/31/15	http://lincs.hms.harvard.edu/db/datasets/20219/	LP2	lincs.milestones.h:20219	Fluorescence Imaging Phosphorylation State /Protein Quantification Assay
HMS LINCS	Viability and Apoptosis by Imaging	TransCenter3: Sensitivity measures of MDA-MB-231 and HME-1 cell lines to LINCS Phase I TransCenter Project kinase inhibitors-drug combinations. Imaging assay--monitoring cell number via Hoechst 33342 (nuclei) staining. To generate measures of the sensitivities of two cell lines to LINCS Phase I TransCenter Project kinase inhibitors we treated cells with two drugs at a time and measured the cell number after three days of drug exposure.  All pairwise combinations have been tested. Dataset TransCenter4 tests the same cell/drug conditions with L1000 readout.	"HME1,cell line,normal,breast;MDAMB231,cell line,normal,breast"	2\cell lines	"GDC0941,small molecule;MK2206,small molecule;WYE125132,small molecule;Torin1,small molecule;PD0325901,small molecule"	"false\small molecules,5"	0.000166-22uM (adjusted by drug and cell line);	3;days;1		one-all	Nuclei/cell count\kinase inhibitor sensitivity measurements	1	6/30/15	6/30/15				LP2	lincs.milestones.h:2bebf7ab-c33b-48af-ae80-d084ebb0c297	Fluorescence Imaging Cell viability assay
HMS LINCS	L1000 Transcriptomics	"TransCenter4: L1000 response of MDA-MB-231 and HME-1 cell lines to LINCS Phase I TransCenter Project kinase inhibitors--drug combinations. Transcriptional response dataset-- corresponding to the cell/drug conditions tested in dataset TransCenter3, but measured with the L1000 assay at the Broad Institute."	"HME1,cell line,normal,breast;MDAMB231,cell line,normal,breast"	2\cell lines	"GDC0941,small molecule;MK2206,small molecule;WYE125132,small molecule;Torin1,small molecule;PD0325901,small molecule"	"false\small molecules,5"	0.000166-22uM (adjusted by drug and cell line);	"3,24;hrs;2"		one-all	L1000 gene expression\number	1	6/30/15	6/30/15				LP2	lincs.milestones.h:cf30047a-aab8-41a7-af33-841b684d36af	L1000 Gene expression profiling assay
HMS LINCS	L1000 Transcriptomics	"LJP5&6-L1000/single drugs: L1000 response of 6 breast cancer cell lines to treatment plates LJP5&6 (106 kinase inhibitors). Transcriptional response dataset-- 6 cell lines after 3 and 24 hours of treatment with 106 different kinase inhibitors at 6 different doses, measured with the L1000 assay at the Broad Institute"	"BT20,cell line,cancer line,breast;HS578T,cell line,cancer line,breast;MCF10A,cell line,cancer line,breast;MCF7,cell line,cancer line,breast;MDAMB231,cell line,cancer line,breast;SKBR3,cell line,cancer line,breast"	6\cell lines	"106 compounds,small molecules"	"false\small molecules,106"	"0.04uM,0.12uM,0.36uM,1.1uM,3.3uM,10uM;6"	"3,24;hrs;2"		one-all	L1000 gene expression\number	1	6/30/15	6/30/15		12/31/15		LP2	lincs.milestones.h:7d54a76a-4d1b-47f0-9a80-4e9581f8f08d	L1000 Gene expression profiling assay
HMS LINCS	Growth Response Assay	"LJP5&6-growth inhibition/single drugs: Sensitivity measures of 6 breast cancer cell lines to treatment plates LJP5&6 (106 kinase inhibitors); complement to dataset LJP5&6-L1000/single drugs. Imaging assay--To generate measures of the sensitivities of 6 cell lines to LJP56 plates of kinase inhibitors, we treated cells with single drugs and measured the cell number after three days of drug exposure.  "	"BT20,cell line,cancer line,breast;HS578T,cell line,cancer line,breast;MCF10A,cell line,cancer line,breast;MCF7,cell line,cancer line,breast;MDAMB231,cell line,cancer line,breast;SKBR3,cell line,cancer line,breast"	6\cell lines	"106 compounds,small molecules"	"false\small molecules,106"	"0.04uM,0.12uM,0.36uM,1.1uM,3.3uM,10uM;6"	"3,24;hrs;2"		one-all	Nuclei/cell count\kinase inhibitor sensitivity measurements	1	6/30/15	6/30/15	6/30/15	12/31/15		LP2	lincs.milestones.h:2d24908f-7a2b-45c8-aa35-0a7673e1d4ad	Fluorescence Imaging Cell Growth Inhibition Assay
HMS LINCS	High Content Imaging	"Breast Cancer HCI1: High content images of 4 breast cancer cell lines treated with 106 kinase inhibitors (plates LJP5-6);collaboration with the David Andrews lab (University of Toronto). Imaging assay--4 cell lines treated with 3 different doses of the LJP5&6 plates of kinase inhibitors. Cells were stained with TMRE (mitochondria) and DRAQ5 (DNA/nuclei). Intensity, mophology and texture features were extracted at the well and single cell levels."	"BT20,cell line,cancer line,breast;MCF10A,cell line,cancer line,breast;MCF7,cell line,cancer line,breast;MDAMB231,cell line,cancer line,breast"	4\cell lines	"106 compounds,small molecules"	"false\small molecules,106"	"0.12uM,1.1uM,10uM;3"	24;hrs;1		one-all	"Intensity, mophology and texture features (300+ features total)\image"	>300	6/30/15	6/30/15				LP2	lincs.milestones.h:7c7c12ea-c824-4554-9b04-58f2387be087	Fluorescence Imaging Cell viability assay
